RTT,cwnd,ssthresh
1,1,8
2,2,8
3,4,8
4,8,8
5,9,8
6,10,8
7,11,8
8,12,8
9,13,8
10,14,8
11,15,8
12,1,7
13,2,7
14,1,1
15,2,1
16,3,1
17,4,1
18,1,2
19,2,2
20,3,2
21,4,2
22,5,2
23,6,2
24,7,2
25,8,2
26,9,2
27,10,2
28,1,5
29,1,1
30,2,1
31,3,1
32,4,1
33,5,1
34,6,1
35,7,1
36,8,1
37,9,1
38,10,1
39,1,5
40,2,5
41,1,1
42,2,1
43,3,1
44,4,1
45,5,1
46,6,1
47,7,1
48,8,1
49,9,1
50,10,1
51,11,1
52,12,1
53,13,1
54,1,6
55,2,6
56,4,6
57,6,6
58,7,6
59,8,6
60,1,4
61,2,4
62,4,4
63,5,4
64,6,4
65,7,4
66,8,4
67,9,4
68,10,4
69,11,4
70,1,5
71,2,5
72,4,5
73,5,5
74,6,5
75,7,5
76,8,5
77,9,5
78,10,5
79,1,5
80,2,5
81,4,5
82,5,5
83,6,5
84,7,5
85,8,5
86,1,4
87,2,4
88,4,4
89,5,4
90,6,4
91,1,3
92,2,3
93,3,3
94,4,3
95,1,2
96,2,2
97,3,2
98,4,2
99,1,2
100,2,2
