RTT,cwnd,ssthresh
1,1,8
2,2,8
3,4,8
4,8,8
5,9,8
6,10,8
7,8,5
8,5,5
9,6,5
10,7,5
11,8,5
12,9,5
13,10,5
14,8,5
15,5,5
16,6,5
17,7,5
18,6,3
19,3,3
20,4,3
21,5,3
22,6,3
23,7,3
24,8,3
25,9,3
26,10,3
27,11,3
28,12,3
29,13,3
30,9,6
31,6,6
32,7,6
33,8,6
34,7,4
35,4,4
36,5,4
37,5,2
38,2,2
39,4,1
40,1,1
41,2,1
42,3,1
43,4,1
44,1,1
45,2,1
46,3,1
47,4,1
48,5,1
49,6,1
50,7,1
51,8,1
52,9,1
53,10,1
54,8,5
55,5,5
56,6,5
57,6,3
58,3,3
59,4,1
60,1,1
61,2,1
62,3,1
63,4,1
64,5,2
65,2,2
66,4,1
67,5,2
68,2,2
69,3,2
70,4,1
71,1,1
72,2,1
73,3,1
74,4,1
75,5,1
76,6,1
77,7,1
78,8,1
79,7,4
80,6,3
81,3,3
82,4,3
83,5,3
84,6,3
85,6,3
86,3,3
87,4,3
88,5,3
89,6,3
90,7,3
91,6,3
92,3,3
93,4,3
94,5,3
95,5,2
96,2,2
97,3,2
98,4,1
99,1,1
100,2,1
